"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000000003.14",1738,164,66,2030,357,657,2132,603,999,352
"ENSG00000000005.5",4,3,9,4,1,1,27,0,3,1
"ENSG00000000419.12",665,2398,585,2332,616,1599,2304,1537,703,862
"ENSG00000000457.13",98,595,195,508,279,716,888,319,776,212
"ENSG00000000460.16",117,314,93,151,188,398,696,165,317,117
"ENSG00000000938.12",408,110,40,105,146,132,93,32,52,91
"ENSG00000000971.15",462,328,307,939,333,1279,517,787,271,550
"ENSG00000001036.13",826,2014,775,793,1327,812,1214,1183,1317,1099
"ENSG00000001084.10",305,1227,329,1269,333,842,1081,299,1106,737
"ENSG00000001167.14",1159,1735,856,2215,1251,1495,836,704,990,663
"ENSG00000001460.17",48,217,96,514,212,128,234,58,148,67
"ENSG00000001461.16",140,354,969,1383,429,591,546,444,787,246
"ENSG00000001497.16",1290,1474,937,1660,2016,982,2419,418,1065,507
"ENSG00000001561.6",145,256,265,938,74,1398,425,512,708,332
"ENSG00000001617.11",1698,5285,2198,7236,4569,4319,3094,845,948,325
"ENSG00000001626.14",1,19,1,0,8,3,27,0,2,26
"ENSG00000001629.9",700,3237,1088,3068,1239,2119,1926,1060,1392,927
"ENSG00000001630.15",7,8,31,80,5,74,69,48,83,21
"ENSG00000001631.15",297,1437,526,1126,520,1468,856,607,521,458
"ENSG00000002016.17",71,359,128,256,120,382,280,98,247,125
"ENSG00000002079.14",2,4,2,2,6,11,8,2,6,0
"ENSG00000002330.13",144,398,123,712,179,269,264,144,380,216
"ENSG00000002549.12",1373,3152,1870,5725,597,2201,3620,2293,2166,2091
"ENSG00000002586.18",0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.9",54,40,33,54,94,92,51,86,74,68
"ENSG00000002726.20",4,32,3,8,8,6,11,2,4,4
"ENSG00000002745.12",2,3,2,1,2,3,4,0,0,3
"ENSG00000002746.14",1,6,37,11,3,31,49,1,1,6
"ENSG00000002822.15",273,458,367,788,814,219,463,101,300,72
"ENSG00000002834.17",656,2823,3582,5822,2938,3605,5524,888,3411,3584
"ENSG00000002919.14",330,1283,227,1967,503,852,1003,388,581,470
"ENSG00000002933.7",239,5007,112,432,6012,3809,389,333,446,357
"ENSG00000003056.7",310,697,739,1723,937,1749,1516,770,1659,832
"ENSG00000003096.14",3,51,27,8,3,21,222,28,164,220
"ENSG00000003137.8",10,92,8,111,33,33,23,16,16,32
"ENSG00000003147.17",253,448,672,1504,1549,126,670,755,1279,297
"ENSG00000003249.13",494,1216,1052,1623,2795,392,1653,969,974,186
"ENSG00000003393.14",263,747,345,933,392,531,1121,388,525,319
"ENSG00000003400.14",95,163,68,118,70,263,146,92,70,223
"ENSG00000003402.19",748,566,204,1358,861,1422,1426,900,920,939
"ENSG00000003436.15",216,171,137,129,220,113,225,76,102,94
"ENSG00000003509.15",205,382,228,589,225,254,620,197,191,241
"ENSG00000003756.16",415,2897,1214,1405,1087,2633,1488,589,616,678
"ENSG00000003987.13",146,120,81,104,170,51,54,9,8,9
"ENSG00000003989.17",98,7554,472,9810,10786,9951,4913,2358,348,458
"ENSG00000004059.10",1464,3970,1903,4484,3713,2700,2251,1779,2216,1538
"ENSG00000004139.13",31,239,46,76,90,198,85,44,267,18
"ENSG00000004142.11",1970,3801,2597,5963,3957,2879,3025,2852,3410,1174
"ENSG00000004399.12",2201,3212,4279,2396,6593,2757,3473,643,2545,1047
"ENSG00000004455.16",2012,4097,3623,6742,4474,3037,4132,2489,2011,1612
"ENSG00000004468.12",217,368,33,58,10,205,122,61,47,134
"ENSG00000004478.7",5389,8016,12873,20971,23468,9533,8451,5094,11671,2510
"ENSG00000004487.15",2403,2508,1462,3082,2142,1543,4297,713,1970,661
"ENSG00000004534.14",1346,5819,1617,2249,2215,2174,2020,461,480,1182
"ENSG00000004660.14",69,203,296,314,467,292,326,239,399,138
"ENSG00000004700.15",133,173,127,456,65,780,750,252,486,205
"ENSG00000004766.15",333,1769,450,980,438,646,543,520,566,321
"ENSG00000004776.12",2,10,7,17,22,20,13,2,10,9
"ENSG00000004777.18",161,991,353,223,177,311,495,32,342,58
"ENSG00000004779.9",2395,5689,1736,7421,3159,2886,4970,2398,2084,1294
"ENSG00000004799.7",405,327,270,246,69,487,123,125,169,123
"ENSG00000004809.13",7,1,1,3,6,0,2,0,0,2
"ENSG00000004838.13",35,331,126,396,107,523,68,52,27,34
"ENSG00000004846.16",0,2,0,1,6,2,0,4,1,0
"ENSG00000004848.7",1,113,153,2,8,15,25,36,11,24
"ENSG00000004864.13",462,1028,284,573,347,419,1531,461,487,355
"ENSG00000004866.20",184,403,492,1077,643,446,434,356,617,196
"ENSG00000004897.11",1031,2626,585,2234,1524,1905,1439,559,850,697
"ENSG00000004939.13",0,1,5,4,3,1,3,5,0,0
"ENSG00000004948.13",0,5,3,1,4,10,133,0,3,0
"ENSG00000004961.14",471,969,515,1154,1024,703,1078,678,413,402
"ENSG00000004975.11",547,786,421,983,384,1344,837,402,482,233
"ENSG00000005001.9",12,259,476,724,35,123,380,69,131,80
"ENSG00000005007.12",1134,2076,2393,3690,2036,1576,2176,708,2223,904
"ENSG00000005020.12",120,710,330,230,100,397,275,436,452,476
"ENSG00000005022.5",4894,6482,2160,4403,4799,4100,12969,5024,4360,4377
"ENSG00000005059.15",1071,2805,735,978,238,431,480,763,96,444
"ENSG00000005073.5",3,4,2,23,31,18,2,21,3,16
"ENSG00000005075.15",1110,4424,1390,2192,3037,1540,1956,866,850,794
"ENSG00000005100.12",403,772,224,556,417,814,944,257,629,139
"ENSG00000005102.12",53,14,105,38,1,1,6,6,20,36
"ENSG00000005108.15",21,12,33,38,85,24,61,21,26,56
"ENSG00000005156.11",556,1650,363,1300,823,956,1408,289,830,266
"ENSG00000005175.9",480,1474,575,1134,620,1154,1130,481,559,466
"ENSG00000005187.11",34,9,5,82,23,16,16,23,31,78
"ENSG00000005189.19",141,618,140,483,178,244,301,275,246,109
"ENSG00000005194.14",514,942,465,1489,1089,703,1695,939,651,441
"ENSG00000005206.16",339,1882,979,1517,1251,1208,993,243,418,264
"ENSG00000005238.19",337,473,269,919,201,279,350,231,200,177
"ENSG00000005243.9",58,175,44,654,447,604,273,300,71,190
"ENSG00000005249.12",132,9763,397,1005,991,2302,839,1172,428,992
"ENSG00000005302.17",720,589,216,774,749,822,933,540,381,1028
"ENSG00000005339.14",1145,2030,1179,2952,2054,1888,1990,440,1382,460
"ENSG00000005379.15",73,897,1252,758,56,946,700,68,792,95
"ENSG00000005381.7",1,4,0,0,8,3,11,0,2,3
"ENSG00000005421.8",2,3,0,2,42,1,1,1,13,15
"ENSG00000005436.13",209,357,236,557,329,376,466,375,354,236
"ENSG00000005448.16",179,886,625,746,356,329,930,118,58,62
"ENSG00000005469.11",100,1111,208,595,161,393,319,509,1092,1642
"ENSG00000005471.15",4,51,27,40,14,33,26,18,8,10
"ENSG00000005483.20",534,2238,1143,1614,718,1651,1130,402,1444,471
"ENSG00000005486.16",745,4087,2588,5033,4266,2157,1212,639,1309,606
"ENSG00000005513.9",3,13,5,13,319,3,77,5,10,13
"ENSG00000005700.14",596,1972,1684,2594,1450,1691,1632,1685,740,533
"ENSG00000005801.16",804,1476,477,897,507,777,1502,638,220,538
"ENSG00000005810.17",1001,623,275,827,319,701,1014,324,451,661
"ENSG00000005812.10",411,1171,578,1582,698,1348,973,903,357,1275
"ENSG00000005844.17",196,459,95,267,69,451,283,136,170,439
"ENSG00000005882.11",175,322,1622,720,49,509,2010,178,462,58
"ENSG00000005884.17",273,919,6863,1687,591,699,5662,1230,426,132
"ENSG00000005889.15",693,1886,673,3233,995,3630,1428,904,1273,1227
"ENSG00000005893.15",2392,4359,1655,6545,2565,5046,3622,3913,2834,2148
"ENSG00000005961.17",11,421,9,17,17,34,94,3,17,9
